idveiculo,dia,mes,diadasemana,hora,Velocidade,Longitude,Latitude,Eventos
19,4,5,3,0.64677083333,27,-44.37400055,-2.554990053,3
35,6,4,3,0.63717592593,20,-44.37400055,-2.56434989,3
44,16,3,3,0.14685185185,22,-44.37400055,-2.564310074,1
69,6,4,3,0.59291666667,31,-44.37400055,-2.554929972,3
103,21,5,6,0.50100694444,19,-44.37400055,-2.564369917,3
148,27,5,5,0.41263888889,23,-44.37400055,-2.564389944,3
150,20,4,3,0.96182870370,33,-44.37400055,-2.554919958,3
217,28,5,6,0.45679398148,30,-44.37400055,-2.55486989,3
22,27,4,3,0.60056712963,28,-44.37390137,-2.55498004,3
150,20,4,3,0.94878472222,32,-44.37390137,-2.555000067,3
150,7,5,6,0.76820601852,33,-44.37390137,-2.554909945,3
150,12,5,4,0.64200231481,17,-44.37390137,-2.564359903,3
188,2,5,1,0.25182870370,20,-44.37390137,-2.564260006,3
217,5,5,4,0.63781250000,21,-44.37390137,-2.56427002,3
217,7,5,6,0.43756944444,32,-44.37390137,-2.555000067,3
217,18,5,3,0.47023148148,19,-44.37390137,-2.564310074,3
217,20,5,5,0.60026620370,26,-44.37390137,-2.555000067,3
5,19,5,4,0.50773148148,31,-44.37379837,-2.554990053,3
150,14,4,4,0.68335648148,15,-44.37379837,-2.564219952,2
150,18,4,1,0.63378472222,24,-44.37379837,-2.564249992,3
150,31,5,2,0.91782407407,20,-44.37379837,-2.555020094,3
154,25,5,3,0.68298611111,23,-44.37379837,-2.564290047,3
188,24,5,2,0.49136574074,22,-44.37379837,-2.55498004,3
217,28,5,6,0.35491898148,25,-44.37379837,-2.56427002,3
217,10,5,2,0.62711805556,24,-44.37369919,-2.555069923,3
217,26,5,4,0.34483796296,17,-44.37369919,-2.564199924,3
22,27,4,3,0.60332175926,32,-44.37360001,-2.555130005,3
154,29,5,7,0.32675925926,15,-44.37360001,-2.564249992,3
188,27,5,5,0.66434027778,29,-44.37360001,-2.564260006,3
227,28,5,6,0.46233796296,21,-44.37360001,-2.564249992,3
40,26,5,4,0.73144675926,21,-44.37350082,-2.564189911,3
144,27,5,5,0.76626157407,34,-44.37340164,-2.555249929,3
150,24,4,7,0.83009259259,25,-44.37340164,-2.555259943,3
150,13,5,5,0.86817129630,18,-44.37340164,-2.564150095,3
150,31,5,2,0.83250000000,36,-44.37340164,-2.555259943,3
217,7,5,6,0.43765046296,32,-44.37340164,-2.55527997,3
23,3,5,2,0.62306712963,26,-44.37329865,-2.555350065,3
41,6,5,5,0.27268518519,35,-44.37329865,-2.564189911,3
166,1,5,7,0.90597222222,28,-44.37329865,-2.564090014,3
217,7,5,6,0.68312500000,32,-44.37329865,-2.555289984,3
19,4,5,3,0.46564814815,27,-44.37319946,-2.555350065,3
32,14,5,6,0.43271990741,31,-44.37319946,-2.555370092,3
150,29,5,7,0.83241898148,19,-44.37319946,-2.555330038,3
171,27,5,5,0.48989583333,19,-44.37319946,-2.564100027,3
217,13,5,5,0.48216435185,32,-44.37319946,-2.555370092,3
150,29,4,5,0.63986111111,18,-44.37310028,-2.564019918,3
150,1,6,3,0.76240740741,34,-44.37310028,-2.555399895,3
150,1,6,3,0.78675925926,20,-44.37310028,-2.564029932,3
171,27,5,5,0.48986111111,19,-44.37310028,-2.56408,3
188,16,4,6,0.08435185185,24,-44.37310028,-2.564029932,1
188,30,5,1,0.77495370370,15,-44.37310028,-2.564059973,3
188,30,5,1,0.77598379630,15,-44.37310028,-2.564059973,3
188,30,5,1,0.77603009259,15,-44.37310028,-2.564059973,3
217,5,5,4,0.36959490741,37,-44.37310028,-2.555459976,3
22,27,4,3,0.64700231481,33,-44.3730011,-2.555449963,3
32,20,5,5,0.42273148148,19,-44.3730011,-2.563980103,3
150,31,5,2,0.99054398148,24,-44.3730011,-2.555520058,3
188,17,5,2,0.53324074074,16,-44.3730011,-2.563990116,3
27,24,5,2,0.49562500000,24,-44.3728981,-2.555520058,3
112,27,5,5,0.69306712963,26,-44.3728981,-2.563999891,3
150,13,4,3,0.69724537037,23,-44.3728981,-2.563760042,2
217,5,5,4,0.48567129630,32,-44.3728981,-2.555530071,3
217,25,5,3,0.39556712963,28,-44.3728981,-2.563960075,3
217,27,5,5,0.57983796296,24,-44.3728981,-2.563760042,3
32,14,5,6,0.54398148148,23,-44.37279892,-2.56388998,3
37,11,3,5,0.00509259259,24,-44.37279892,-2.563719988,1
